Name of kdrama,Year of relase,Watchtime,Movie Rating,Genre,Votes
Extraordinary Attorney Woo,2022,75,9,Drama            ,5887
A Model Family,2022,45,6.6,"Crime, Drama, Thriller            ",558
Squid Game,2021,55,8,"Action, Drama, Mystery            ",430973
Alchemy of Souls,2022,80,8.6,"Comedy, Drama, Fantasy            ",2126
Big Mouth,2022,60,8.3,"Action, Crime, Drama            ",761
All of Us Are Dead,2022,60,7.5,"Action, Drama, Fantasy            ",46500
Miraculous: Tales of Ladybug & Cat Noir,2015,20,7.6,"Animation, Action, Adventure            ",11209
Pachinko,2022,55,8.4,Drama            ,7423
Crash Landing on You,2019,70,8.7,"Adventure, Comedy, Romance            ",27359
Kingdom,2019,45,8.3,"Action, Drama, Horror            ",45420
Vincenzo,2021,80,8.4,"Action, Comedy, Crime            ",17024
The Office Blind Date,2022,60,8.1,"Comedy, Drama, Romance            ",9067
It's Okay to Not Be Okay,2020,80,8.6,"Comedy, Drama, Romance            ",22955
True Beauty,2020,70,8,"Comedy, Drama, Romance            ",6861
Sweet Home,2020,52,7.3,"Drama, Fantasy, Horror            ",20664
My Name,2021,50,7.8,"Action, Crime, Drama            ",20417
Twenty Five Twenty One,2022,70,8.7,"Drama, Romance            ",6362
Money Heist: Korea - Joint Economic Area,2022,60,5.3,"Action, Crime, Drama            ",5580
The King's Affection,2021,,7.9,"Drama, Romance            ",2973
The Boondocks,2005,22,8.5,"Animation, Action, Comedy            ",30661
Cafe Minamdang,2022,65,7.1,"Comedy, Crime, Drama            ",415
Hometown Cha-Cha-Cha,2021,70,8.4,"Comedy, Romance            ",11611
Mouse,2021,80,8.7,"Action, Crime, Mystery            ",5990
Flower of Evil,2020,70,8.7,"Crime, Mystery, Romance            ",7421
Guardian: The Lonely and Great God,2016,120,8.6,"Comedy, Drama, Fantasy            ",20353
If You Wish Upon Me,2022,65,9,Drama            ,168
Big City Greens,2018,22,7.4,"Animation, Adventure, Comedy            ",2244
Remarriage & Desires,2022,70,7.4,Drama            ,931
Descendants of the Sun,2016,60,8.3,"Action, Comedy, Drama            ",15724
The Silent Sea,2021,45,6.9,"Adventure, Drama, Mystery            ",20008
Hellbound,2021,150,6.6,"Crime, Drama, Fantasy            ",23479
Itaewon Class,2020,70,8.2,"Drama, Romance            ",13227
Snowdrop,2021,85,8.2,"Crime, Drama, Romance            ",9477
Start-Up,2020,80,8.1,"Comedy, Drama, Romance            ",9991
What's Wrong with Secretary Kim,2018,60,8.1,"Comedy, Mystery, Romance            ",11967
Backstreet Rookie,2020,60,7.5,"Action, Comedy, Romance            ",2514
Mr. Sunshine,2018,80,8.7,"Action, Drama, History            ",7462
Adamas,2022,75,7,"Drama, Mystery, Thriller            ",172
Tomorrow,2022,60,7.8,"Action, Comedy, Drama            ",8889
Hotel Del Luna,2019,80,8.2,"Action, Comedy, Drama            ",8726
Stranger,2017,60,8.5,"Crime, Drama, Mystery            ",8182
The K2,2016,60,7.8,"Drama, Romance, Thriller            ",6372
Teenage Mutant Ninja Turtles,2003,30,7.8,"Animation, Action, Adventure            ",10597
Nevertheless,2021,70,7.2,"Drama, Romance            ",5155
Run On,2020,70,7.5,"Drama, Romance            ",3326
Happiness,2021,65,7.8,"Action, Fantasy, Horror            ",5294
Strong Girl Bong-soon,2017,67,8.2,"Comedy, Crime, Drama            ",12144
Our Beloved Summer,2021,70,8.3,"Drama, Romance            ",5505
Our Blues,2022,60,8.6,Drama            ,1498
Doom at Your Service,2021,65,8,"Drama, Fantasy, Romance            ",3683
Vagabond,2019,60,8.1,"Action, Mystery, Thriller            ",8187
The Uncanny Counter,2020,65,8,"Action, Fantasy, Horror            ",6237
While You Were Sleeping,2017,30,8.3,"Comedy, Drama, Fantasy            ",7186
Legend of the Blue Sea,2016,60,8.2,"Comedy, Drama, Fantasy            ",9047
"Link: Eat, Love, Kill",2022,65,7.4,"Crime, Mystery, Romance            ",617
Arthdal Chronicles,2019,80,8.3,"Action, Drama, Fantasy            ",4445
Mr. Queen,2020,70,8.7,"Comedy, Fantasy, Romance            ",5003
The Penthouse: War in Life,2020,70,7.9,"Crime, Drama, Mystery            ",2738
The King: Eternal Monarch,2020,70,8.1,"Fantasy, Mystery, Romance            ",11341
Today's Webtoon,2022,,8.1,"Comedy, Drama            ",99
Hospital Playlist,2020,84,8.8,"Comedy, Drama            ",5242
Move to Heaven,2021,60,8.6,Drama            ,5925
Eve,2022,63,7.6,"Drama, Romance            ",640
She Would Never Know,2021,65,7.5,"Romance, Drama            ",850
Reply 1988,2015,90,9.2,"Comedy, Drama, Family            ",7142
My Love from Another Star,2013,60,8.2,"Comedy, Drama, Fantasy            ",12770
W,2016,60,8.1,"Action, Comedy, Drama            ",10337
Extraordinary You,2019,35,7.8,"Comedy, Fantasy, Romance            ",3219
Because This Is My First Life,2017,70,8.1,"Comedy, Drama, Romance            ",4803
My Mister,2018,70,9.1,"Drama, Family            ",6276
The Transformers,1984,30,8,"Animation, Action, Adventure            ",22005
Hwarang: The Poet Warrior Youth,2016,60,8,"Action, Comedy, Drama            ",4057
Boys Over Flowers,2009,70,7.9,"Comedy, Drama, Romance            ",12038
Tale of the Nine Tailed,2020,70,7.9,"Fantasy, Horror, Romance            ",4721
Heirs,2013,55,7.5,"Comedy, Drama, Romance            ",10781
Star Wars: Clone Wars,2003,133,7.8,"Animation, Action, Adventure            ",26327
Something in the Rain,2018,75,8.1,"Drama, Romance            ",6329
Why Her,2022,70,7.7,"Drama, Mystery, Romance            ",565
Healer,2014,60,8.5,"Action, Comedy, Crime            ",8414
My Liberation Diary,2022,60,8.3,"Drama, Romance            ",1912
Romance Is a Bonus Book,2019,62,8,Romance            ,5439
Beyond Evil,2021,70,8.1,"Drama, Mystery, Thriller            ",3163
Shooting Stars,2022,60,7.7,"Comedy, Drama, Romance            ",1002
